Country,Age,Occupation,Education_Level,Income_USD,Daily_Screen_Time_Hours,Phone_Unlocks_Per_Day,Social_Media_Usage_Hours,Gaming_Usage_Hours,Streaming_Usage_Hours,Messaging_Usage_Hours,Work_Related_Usage_Hours,Sleep_Hours,Physical_Activity_Hours,Mental_Health_Score,Depression_Score,Anxiety_Score,Stress_Level,Time_Spent_With_Family_Hours,Internet_Connection_Type,Primary_Device_Brand,Has_Screen_Time_Management_App,Self_Reported_Addiction_Level,Monthly_Data_Usage_GB,Has_Night_Mode_On,Age_First_Phone,Push_Notifications_Per_Day,Tech_Savviness_Score
Mexico,13,Manager,PhD,12654.62,8.75,55,2.72,1.38,2.39,0.75,1.43,7.12,1.07,18.89,3.74,44.42,6.93,2.31,4G,Samsung,Yes,High,14.16,Yes,15,56,63.18
USA,47,Doctor,Master's,37986.69,6.85,108,2.04,1.43,2.14,1.28,0.96,6.8,0.44,84.57,34.69,86.38,4.22,1.69,4G,Xiaomi,Yes,Low,27.61,Yes,8,116,72.28
Mexico,13,Student,Bachelor's,19972.93,5.09,110,2.2,3.11,2.76,0.93,1.48,6.57,1,38.15,23.55,10.37,46.98,1.07,WiFi,OnePlus,Yes,Moderate,14.55,Yes,8,101,69.37
USA,32,Salesperson,None,48277.84,4.37,55,1.65,-0.27,2.02,0.71,2.18,4.41,1.18,10.23,97.48,12.86,10.37,0.13,3G,OnePlus,No,Low,26.05,Yes,9,56,86.18
USA,25,Student,None,28411.97,6.28,84,2.24,1.49,2.73,1.26,1.43,6.41,1.33,47.14,38.99,26.45,38.68,1.77,3G,Xiaomi,No,High,17.13,No,15,125,63.12
Germany,33,Doctor,Master's,6758.38,4.95,68,1.65,2.21,3.16,1.79,1.44,4.51,0.95,35.47,9.94,19.46,84.5,2.32,WiFi,Huawei,Yes,Severe,33.79,Yes,12,114,97.97
UK,50,Engineer,Bachelor's,23492.68,9.24,51,1.24,0.2,1.36,1.41,1.74,5.75,1,50.65,51.75,7.34,1.06,2.11,3G,Other,Yes,Moderate,41.22,Yes,16,68,58
Germany,40,Salesperson,None,2817.1,8.46,74,2.22,1.83,1.49,1.22,1.97,6.35,0.06,38.62,72.75,92.18,45.83,0.34,WiFi,OnePlus,No,Severe,23.23,Yes,20,84,74.85
Germany,40,Unemployed,Master's,40351.66,4.09,54,1.89,2.46,3.42,2.04,1.08,7.85,1.37,15.93,3.41,11.54,91.53,1.9,3G,Xiaomi,No,Severe,31.83,Yes,19,56,66.68
Brazil,26,Artist,Master's,18597.62,4.32,29,1.8,1.17,0.34,0.45,-0.3,8.33,0.95,4.91,44.75,63.83,41.56,1.17,3G,OnePlus,Yes,Low,23.2,Yes,20,98,17.47
Mexico,47,Student,High School,43809.36,9.68,76,0.48,1.83,-0.17,2.38,3.32,6.24,0.99,14.59,95.06,18.64,37.9,2.45,4G,Apple,Yes,Moderate,37.23,Yes,15,142,30.36
Nigeria,66,Engineer,Master's,40641.95,7.86,116,2.01,2.5,2.62,1.89,1.6,7.43,1.2,26.22,37.23,35.26,89.96,1.4,3G,Apple,Yes,Low,22,No,14,111,74.74
China,54,Artist,PhD,27490.79,7.64,92,2.73,2.79,2.29,1.63,3.14,7.33,0.79,59.88,89.79,28.08,56.49,2.32,3G,Huawei,Yes,Moderate,32.8,Yes,17,131,21.56
Russia,29,Student,Bachelor's,36311.59,5.55,110,3.61,3.36,1.12,1.27,1.25,7.89,1.57,55.92,73.03,51.79,26.31,2.49,4G,Xiaomi,No,Severe,33.1,Yes,14,87,97.28
UK,32,Manager,Master's,41257.03,6.64,82,2.64,-0.34,2.53,2.07,4.19,4.26,0.8,45.81,59.74,68.29,81.97,2.37,WiFi,Xiaomi,Yes,Moderate,28.04,No,19,57,83.95
UK,55,Salesperson,None,29583.23,5.45,58,3.14,0.49,2.7,0.91,1.93,7.32,1.65,99.92,93.85,29.33,41.25,2,3G,Apple,Yes,Low,33.8,No,11,115,29.69
Nigeria,19,Doctor,Bachelor's,34838.8,2.9,48,2.73,3.38,1.67,1.16,-0.85,7.2,1.48,68.53,67.34,18.88,18.22,1.06,WiFi,Other,No,High,29.83,Yes,20,130,12.04
Russia,23,Salesperson,None,65662.64,6.6,81,1.92,2.29,4.02,1.3,3.52,7.19,0.58,30.09,15.25,69.15,25.92,2.22,5G,Xiaomi,Yes,High,34.36,No,8,112,15.39
UK,42,Unemployed,High School,30155.53,4.14,100,1.54,2.32,1.1,0.84,1.05,6.13,0.92,89.81,47.12,43.58,82.27,2.15,3G,OnePlus,No,Moderate,30.25,Yes,15,148,75.36
Germany,53,Student,High School,35693.99,7.02,125,3.2,3.24,1.35,1.13,2.48,7.34,0.41,98.57,31.35,93.25,25.5,1.69,3G,OnePlus,Yes,Moderate,18.5,Yes,10,95,48.1
USA,62,Salesperson,Bachelor's,48125.58,2.24,26,2.04,1.39,2.27,0.44,3.12,7.08,1.22,43.15,62.82,8.37,15.3,2.9,WiFi,Huawei,Yes,High,12.4,Yes,8,135,89.84
India,47,Unemployed,Bachelor's,36637.75,7.09,96,3.09,1.29,2.23,0.77,0.78,6.94,0.69,32.87,3.5,77.36,8.53,2.21,WiFi,Apple,No,High,4.73,Yes,12,94,49.06
USA,39,Unemployed,PhD,3902.8,5.4,89,1.64,1.11,1.48,1.83,2.17,6.98,1,54.01,39.11,42.4,83.41,1.86,WiFi,Samsung,Yes,Moderate,20.74,No,9,87,90.62
Brazil,67,Unemployed,PhD,14448.69,5.76,100,3.18,1.23,2.12,0.63,3.11,7.41,0.62,51.83,30.87,54.73,9.56,1.94,WiFi,OnePlus,No,High,37.31,No,10,85,83.84
USA,13,Doctor,Master's,617.96,5.07,111,1.65,1.13,0.39,1.55,1.92,6.92,0.94,57.71,57.99,85.36,19.35,1.14,5G,Huawei,Yes,Severe,29.59,No,16,129,85.21
Germany,65,Manager,Master's,12223.84,5.51,104,1.35,0.17,1.06,1.12,0.36,6.97,1.32,40.29,67.82,36.84,7.44,0.73,WiFi,Apple,No,High,19.31,Yes,10,103,48.8
USA,51,Teacher,PhD,51345.23,9.96,137,0.67,1.78,0.75,0.28,2.4,7.51,1.55,71.49,55.74,66.61,69.83,1.23,4G,Apple,No,High,26.37,Yes,8,94,69.94
Nigeria,68,Student,PhD,19013.13,7.2,38,0.48,0.56,1.04,1.97,3.17,5.56,0.23,26.72,12.13,64.23,28.47,0.32,3G,Huawei,Yes,High,2.97,Yes,9,117,84.62
USA,64,Teacher,High School,8147.03,6.03,90,3.39,1.34,2.72,1.75,3.37,4.27,1.44,42.6,13.21,97.3,47.27,1.41,WiFi,Other,No,Severe,30.94,Yes,19,62,8.8
Mexico,58,Salesperson,Master's,38146.93,9.94,125,1.23,0.05,2.46,0.82,1.54,5.03,0.44,21.88,23.21,68.87,87.77,2.28,WiFi,Samsung,No,Severe,15.35,No,16,107,23.77
USA,59,Student,High School,33088.73,5.11,105,2.96,0.15,3.33,0.52,1.45,6.41,1.1,26.73,0.99,79.97,81.68,2.05,4G,Other,Yes,High,25.19,No,12,104,49.37
Russia,42,Salesperson,PhD,28177.73,5.41,56,1.43,2.6,2.45,1.14,1.72,5.37,1.42,61.21,79.51,21.95,5.73,1.6,4G,OnePlus,Yes,Moderate,28.86,Yes,20,116,73.51
India,52,Engineer,High School,37634.12,3.97,55,2.12,2.34,2.08,1.55,2.35,7.36,1.48,54.81,89.15,26.7,10.82,0.98,4G,OnePlus,No,Moderate,21.86,No,17,75,39.5
USA,61,Unemployed,None,15506.65,6.18,83,1.97,0.92,0.89,1.67,2.91,5.45,0.29,93.9,50.5,88.83,78.39,1.7,3G,OnePlus,Yes,Moderate,23.86,Yes,19,94,4.35
UK,32,Artist,Bachelor's,35111.87,2.21,82,3.55,-0.3,4.51,1.58,1.58,6.12,0.55,34.08,59.52,16.48,69.2,0.84,3G,Huawei,Yes,Moderate,9.96,No,10,110,62.01
India,18,Engineer,Master's,18388.4,7.65,119,0.22,1.11,1.51,2.57,1.67,7.3,1.55,59.81,43.45,3.62,62.27,1.68,5G,Xiaomi,No,Moderate,24.77,Yes,12,85,28.33
India,34,Teacher,PhD,51037.61,5.7,91,2.34,0.69,2.33,1.97,0.68,7.22,0.31,39.86,86.67,75.52,22.18,0.15,5G,OnePlus,Yes,Low,18.06,Yes,20,92,31.87
Brazil,45,Teacher,Bachelor's,48693.85,6.97,64,1.17,2.22,1.1,1.79,1.92,6.3,-0.05,54.52,11.73,41.34,93.88,2.14,5G,Other,Yes,Low,40.02,Yes,15,128,93.94
Brazil,67,Teacher,None,40002.43,8.94,103,1.82,2.46,0.74,1.82,3.05,8.77,0.39,18.43,53.49,15.14,48.24,0.77,WiFi,Other,Yes,Low,30.87,No,13,104,58.75
Japan,32,Artist,Master's,17462.26,4.26,35,1.87,1.71,2.77,0.79,4.2,6.63,1.77,32.8,12.8,86.89,67.64,1.95,3G,Samsung,Yes,Moderate,33.53,Yes,18,134,58.05
UK,65,Artist,Master's,54869.24,7.28,121,0.45,3,2.25,1.26,1.86,7.69,1.14,53.93,3.43,62.59,19.24,2.7,WiFi,Samsung,No,Moderate,16.73,Yes,20,96,48.6
UK,23,Manager,Master's,42365.38,7.45,150,1.56,1.78,2.08,1.44,2.23,5.85,1.18,88.51,61.81,44.53,41.96,0.29,5G,Huawei,No,Severe,41.06,Yes,17,70,11.04
Russia,70,Doctor,PhD,32131.02,3.27,58,0.85,1.57,1.1,1.91,0.41,6.13,0.2,29.82,26.67,64.25,3.55,2.55,5G,OnePlus,Yes,Low,34.08,Yes,18,96,34.02
Germany,24,Manager,None,39752.83,7.76,42,1.22,2.11,1.73,0.94,3.36,8.4,-0.32,70.98,57.2,84.17,64.61,2.7,5G,Apple,Yes,Low,37.48,No,15,34,59.83
Brazil,27,Salesperson,Master's,27256.75,4.46,61,1.37,2.37,0.64,1.7,0.96,7.38,0.88,74.64,36.05,72.74,36.02,1.94,5G,Huawei,Yes,Severe,12.41,Yes,14,119,93.46
China,35,Student,Master's,28643.76,1.39,123,1.19,1.01,2.14,0.64,3.26,7.01,0.94,84.72,66.02,80.36,31.12,1.5,4G,Apple,Yes,Low,23.82,Yes,18,76,80.01
Nigeria,47,Salesperson,Bachelor's,11466.98,4.3,88,0.98,2.07,0.93,1.46,2.37,6.67,1.06,84.4,43.19,86.91,52.73,3.14,WiFi,Samsung,No,Severe,20.23,No,11,82,47.8
Brazil,70,Unemployed,Master's,38584.45,5.57,99,1.2,-0.38,2.7,2.02,2.62,4.92,2.26,41.96,11.38,0.43,78.32,0.87,4G,Huawei,No,High,29.42,Yes,10,159,22.55
Russia,44,Teacher,Master's,44880.74,8.13,74,1.73,1.99,1.21,1.27,1.9,6.4,1.49,31.41,66.49,11.93,29.27,0.87,WiFi,Samsung,Yes,Severe,12.79,No,11,121,15.08
India,33,Artist,Bachelor's,51912.71,6.2,37,0.92,3.08,0.51,1.01,1.34,4.48,0.77,60.83,7.13,13.43,53.47,1.57,4G,Huawei,No,Moderate,35.53,No,13,107,36.1
India,66,Engineer,None,42142.36,3.81,91,1.12,2.1,0.78,1.74,2.05,5.38,1.43,42.21,24.3,50.7,75.33,1.86,WiFi,Xiaomi,No,Severe,30.61,Yes,9,76,29.75
Nigeria,17,Salesperson,None,42594.28,8.15,84,2.24,0.11,1.14,2.19,1.22,6.88,0.87,82.38,77.22,59.88,69.62,2.71,5G,Samsung,Yes,Low,17.52,Yes,17,109,39.41
Japan,52,Manager,High School,34575.96,7.83,82,2.8,1.34,0.73,1.67,0.76,6.11,1.88,58.15,39.14,98.95,55.24,2.12,5G,Huawei,No,Severe,24.83,Yes,16,48,6.38
USA,64,Unemployed,Bachelor's,23780.53,5.21,86,1.51,0.93,1.05,1.62,4.15,5.26,1.23,52.6,37.96,4.86,10.91,0.28,4G,OnePlus,No,Severe,26.79,No,10,91,2.64
China,25,Teacher,High School,56138.91,4.55,93,0.67,1.87,1.12,1.42,0.72,6.11,0.4,28.83,11.13,91.06,59.12,2.58,4G,Apple,No,Severe,20.29,No,17,55,17.82
India,62,Unemployed,High School,38379.67,4.3,90,2.59,1.67,2.09,0.96,0.05,6.61,1.46,67.72,1.79,53.41,72.31,2.13,4G,Apple,Yes,Severe,19.28,No,8,76,77.04
Brazil,62,Student,None,35117.63,5.09,88,1.88,-1.14,2.14,1.87,1.59,6.63,2,1.91,62.15,70.28,21.27,1.64,WiFi,Xiaomi,No,Moderate,18.15,Yes,16,134,95.23
China,57,Doctor,Bachelor's,17850.03,3.16,54,1.84,1.57,2.63,1.54,1.31,5.81,1.03,91.15,70.14,16.28,98.16,1.65,3G,Samsung,No,Severe,48.87,Yes,16,91,43.26
USA,46,Unemployed,Bachelor's,32448.01,6.69,83,1.55,1.84,2.67,2.25,3.89,4.95,0.24,6.71,34.36,11.86,40.59,0.72,3G,Apple,No,Moderate,36.78,Yes,11,120,1.7
Russia,17,Unemployed,High School,47211.5,4.65,86,1.59,1.39,3.25,1.59,1.23,4.2,0.67,38.86,19.51,5.38,71.1,1.37,3G,Samsung,No,Severe,18.87,Yes,11,57,23.82
Mexico,44,Salesperson,Bachelor's,42743.79,3.1,63,2.82,1.26,2.02,0.96,2.23,6.09,0.97,26.85,26.69,99.36,42.51,1.66,4G,Samsung,Yes,Low,18.66,No,16,80,57.87
India,29,Artist,None,33114.06,7.53,111,2.43,2.04,1.01,1.74,0.65,5.81,0.75,8.15,37.1,33.9,69.82,1.4,3G,OnePlus,Yes,Low,22.7,Yes,8,127,83.42
India,67,Manager,PhD,19451.37,6.57,98,2.07,-0.11,1.28,1.12,1.34,8.42,0.28,74.39,76.5,30.93,12.91,1.77,4G,OnePlus,No,High,15.77,No,10,68,75.19
Nigeria,42,Artist,Bachelor's,34654.41,8.73,66,0.16,1.72,1.56,2.05,3.48,7.33,1.19,0.14,27.62,5.48,31.67,3.67,4G,OnePlus,No,Moderate,32.32,Yes,11,131,15.14
China,41,Salesperson,Master's,29888.62,3.61,102,0.87,1.34,2.47,2.17,2.67,4.92,1.09,40.13,67.38,10.62,40.45,1.14,4G,OnePlus,Yes,Low,19.67,No,11,156,87.53
Mexico,64,Manager,High School,17467.88,6.96,80,0.27,2,1.91,0.29,3.17,8.05,0.88,42.41,64.05,71.93,3.7,1.84,4G,Samsung,No,Low,22.4,Yes,11,121,65.41
Germany,28,Teacher,High School,23935.67,6.84,112,2.57,2.52,2.42,1.99,1.67,7.46,1.35,70.27,88.15,36.18,7.01,1.74,4G,Huawei,Yes,Low,21.58,Yes,17,116,5.35
Mexico,57,Doctor,PhD,52748.35,6.07,144,1.38,1.76,2.46,1.73,2.9,6.67,0.83,81.57,57.09,81.87,14.77,0.44,4G,OnePlus,Yes,Low,38.06,Yes,17,109,42.16
China,59,Doctor,Master's,15696.73,7.33,68,2.26,-0.06,2.33,1.77,1.96,6.49,1.99,80.74,83.44,87.16,41.6,2.83,5G,Apple,Yes,Severe,30.36,Yes,11,142,62.3
Brazil,13,Teacher,PhD,41703.7,4.54,52,4,0.23,0.53,2.14,3.05,6.24,1.63,20.95,30.29,50.45,13.15,1.41,5G,OnePlus,Yes,Severe,20.83,Yes,11,124,64.97
Russia,36,Student,Master's,34503.53,6.26,63,1.72,0.43,1.79,1.03,2.76,6.72,0.27,71.49,34.35,35.98,67.32,1.1,4G,Other,Yes,Low,23.06,No,17,113,25.52
China,67,Engineer,Bachelor's,41632,6.73,54,1.84,2.67,1.63,1.11,-0.21,6.56,1.25,39.81,14.63,40,86.01,1.28,WiFi,Xiaomi,Yes,Low,22.33,No,9,108,37.36
Japan,33,Engineer,None,-7198.7,9.19,89,2.14,1.84,1.92,1.86,0.84,3.63,0.61,10.06,46.88,21.06,53.36,1.93,4G,Samsung,Yes,Moderate,35.43,Yes,20,102,48.77
Japan,29,Doctor,Master's,40112.03,7.76,117,1.75,2.24,1.9,0.63,2.7,6.39,0.83,45.91,23.74,8.11,34.67,1.26,4G,Other,Yes,High,23.8,Yes,10,99,71.34
Germany,37,Salesperson,High School,19839.36,9.96,110,2.29,1.29,3.41,1.2,1.83,4.23,1.26,93.59,24.9,55.43,12.84,3.21,5G,OnePlus,No,Moderate,19.41,No,8,73,95.5
Brazil,30,Salesperson,Bachelor's,26645.82,4.95,82,2.24,1.34,2.64,1.14,3.04,5.68,0.9,92.45,36.51,3.24,1.02,0.82,4G,Huawei,Yes,High,44.99,No,9,95,41.39
Mexico,48,Manager,None,51663.64,4.72,55,1.82,1.68,1.04,1.2,2.52,7.87,1.1,90.79,49.94,22.52,9.15,1.29,3G,OnePlus,Yes,Severe,31.61,No,13,69,53.61
Brazil,34,Teacher,None,59326.52,5.05,83,1.62,-0.43,1.58,1.32,1.87,6.96,1.24,44.14,96.71,65.81,12.57,0.32,WiFi,Samsung,No,Severe,11.97,Yes,18,89,52
UK,45,Unemployed,Bachelor's,40349.33,4.24,100,3.41,1.21,-0.13,1.59,1.44,5.59,0.91,81.53,58.96,29.92,39.49,2.84,4G,Samsung,No,Low,34.99,Yes,8,99,76.47
Japan,45,Student,High School,45622.7,5.19,88,0.83,2.47,3.35,1.68,3.14,4.49,1.54,24.84,83.94,2.6,41.54,1.5,5G,Xiaomi,No,High,19.47,Yes,15,130,37.63
Brazil,69,Doctor,PhD,21498.58,8.12,167,2.61,1.19,0.55,1.7,2.79,9.14,0.08,25.77,57.32,11.5,49.34,2.04,3G,Other,No,Moderate,25.58,Yes,8,123,37.92
Brazil,46,Teacher,Bachelor's,3004.37,6.96,66,0.02,1.6,2.85,1.41,0.17,6.12,1.17,38.18,42.24,40.92,60.25,1.77,3G,OnePlus,Yes,Severe,13.81,No,14,144,90.56
USA,52,Unemployed,High School,40570.08,6.99,96,2.48,3.1,2.14,1.8,3.18,5.17,1.37,40.08,79.37,28.53,26.94,2.22,4G,Samsung,Yes,Low,9.45,Yes,10,105,47.22
Mexico,46,Doctor,None,22610.86,5.92,54,-0.12,2.99,1.18,0.77,2.1,6.04,-0.3,87.85,61.9,43.06,41.26,1.33,4G,Samsung,Yes,Low,37.28,Yes,14,91,91.48
Brazil,13,Student,PhD,3102.12,6.54,71,1.23,0.55,3.62,1.09,1.57,4.84,1,90.73,8.41,58.04,62.6,1.14,WiFi,Huawei,No,Severe,18.68,Yes,18,114,52.06
Russia,69,Unemployed,PhD,37872.77,6.49,87,1.4,0.99,3.34,1.7,2.78,5.31,1.52,40.17,24.78,20.21,25.47,0.55,5G,Apple,No,Severe,19.11,Yes,18,82,57.2
India,57,Unemployed,Bachelor's,19333.24,7.2,91,1.81,1.15,2.38,0.71,2.53,6.02,0.72,22.12,0.33,98.2,46.85,1.31,3G,Xiaomi,Yes,High,32.56,Yes,15,46,73.09
Japan,61,Artist,Bachelor's,11638.2,4.22,49,2.87,0.86,1.11,1.71,1.91,6.91,1.35,39.72,48.76,99.77,72.27,1.15,4G,Xiaomi,No,Severe,38.03,No,14,35,51.24
Germany,53,Student,None,33154.6,5.21,64,2.9,1.28,1.58,1.25,1.41,5.21,1.06,47.97,26.96,57.39,69.49,1.53,5G,Huawei,No,Severe,34.22,No,13,109,80.55
Mexico,43,Salesperson,PhD,21661.99,5.37,36,2.4,1.8,0.63,1.83,0.72,6.95,0.76,57.13,33.9,38.65,51.44,0.82,4G,OnePlus,Yes,Severe,27.66,No,14,124,84.55
UK,15,Manager,High School,13812.01,4.24,108,0.23,2.34,0.96,1.36,3.31,6.81,0.99,31.77,73.27,78.81,75.45,0.94,5G,Xiaomi,No,Low,-6.57,Yes,18,114,88.59
Japan,37,Teacher,PhD,46662.22,6.79,61,2.15,2.24,2.69,1.05,2.36,6.67,1.23,70.96,64.01,91.15,17.06,1.38,4G,Xiaomi,Yes,Severe,22.77,Yes,18,114,81.26
Brazil,46,Teacher,PhD,44692.91,5.31,48,2.21,1,3.23,0.45,3.29,6.11,1.23,81,29.67,55.35,5.97,1.89,4G,Other,No,High,21.9,Yes,8,97,93.04
India,51,Manager,Bachelor's,-2920.92,3.81,64,1.46,2.79,2.14,1.34,2.06,7.25,1.21,16.36,59.02,35.57,63.99,0.15,4G,Huawei,Yes,Low,2.86,Yes,9,118,90.28
UK,16,Artist,Master's,19775.1,4.71,86,0.92,1.34,2.86,1.66,1.63,6,0.79,12.48,55.65,74.39,37.26,2.03,3G,Other,Yes,Low,29.7,No,16,46,42.32
UK,18,Doctor,Master's,9333.55,6.31,67,2.76,0.06,2.91,1.49,2.23,5.39,1.86,19.22,7.54,62.61,65.35,0.74,3G,Apple,No,Severe,37.43,No,14,145,50.55
USA,69,Student,Bachelor's,23733.29,8.13,93,1.49,2.14,1.34,1.02,2.84,5.78,1.57,2.9,67.92,94.5,41.57,1.22,3G,OnePlus,No,Low,26.87,No,12,38,56.32
Russia,37,Salesperson,None,65387.94,7.49,69,2.38,2.76,0.3,1.46,2.32,4.97,0.73,11.24,98.73,40.16,24.14,1.59,4G,Samsung,Yes,Low,37.92,No,8,82,2.6
Brazil,44,Manager,High School,24876.98,2.59,102,2.85,2.52,1.02,1.88,2.7,4.79,1.09,25.57,9.25,54.33,21.15,0.46,3G,Samsung,Yes,Severe,17.11,Yes,9,109,87.81
India,23,Unemployed,PhD,38271.74,7.62,79,4.29,1.02,2.04,1.26,1.59,5.8,1.41,59.26,44.8,42.86,1.41,1.77,3G,OnePlus,No,Low,29.51,No,12,96,23.17
Japan,39,Salesperson,High School,29704.76,5.54,71,2.82,1.07,1.76,1.78,1.72,7.74,0.94,47.21,78.8,48.28,4.42,1.5,5G,OnePlus,Yes,Severe,21.73,No,18,99,95.98
Russia,47,Manager,High School,23154.3,7.09,53,2.65,0.21,1.33,1.58,4.17,7.26,0.38,45.1,62.99,3.99,32.86,-0.15,4G,Apple,Yes,Moderate,-3.87,Yes,13,114,2.16
Russia,64,Student,Bachelor's,40619.11,7.18,50,2.58,2.05,1.87,0.61,1,5.28,1.46,9.45,5.91,62.4,49.01,1.54,4G,Samsung,Yes,Severe,41.7,No,18,57,85.87
UK,42,Doctor,Bachelor's,12602.11,3.87,79,1.86,1.19,3.11,1.47,0.52,5.6,1.32,61.14,88.01,83.65,21.48,1.68,4G,Xiaomi,No,Low,39.09,No,14,82,87.07
China,55,Manager,PhD,2198.9,6.93,82,1.29,1.26,1.55,1.41,0.88,6.37,1.11,57,13.96,24.51,57.81,2.08,WiFi,OnePlus,Yes,Severe,17.54,No,18,112,84.26
Nigeria,20,Student,Master's,7687.77,8.84,106,2.07,1.17,3.48,1.6,2.57,7.55,0.69,65.43,69.46,66.34,10.22,1.93,4G,Other,Yes,Moderate,27.58,No,8,115,80.21
India,29,Salesperson,Bachelor's,29807.29,2.48,68,3.39,1.71,2.2,2.01,0.84,7.33,1.63,80.68,11.5,94.42,93.03,1.8,3G,Other,No,Moderate,21.94,No,10,131,73.78
Germany,30,Artist,High School,38419.03,4.02,87,1.2,-0.18,1.48,1.32,3.55,6.86,1.13,55.19,70.56,91.78,23.55,1.26,4G,Apple,No,Severe,15.92,Yes,11,180,19.28
UK,27,Student,PhD,31312.61,7.04,72,2.22,3.42,0.33,1.64,0.84,6.06,1.23,45.06,93.04,43.01,72.69,1.53,5G,Huawei,No,Moderate,25.31,Yes,8,111,25.12
China,53,Doctor,Master's,23749.77,6.7,95,3.02,1.73,1.29,1.48,1.49,7.71,1.09,77.5,42.4,10.35,83,3.03,4G,Huawei,No,Severe,30,Yes,20,94,48.89
UK,29,Unemployed,High School,44569.59,6.19,68,0.72,0.79,2.29,2.55,2.9,6.32,1.37,76.78,21.04,85.89,2.43,0.86,4G,Samsung,No,Low,15.76,No,10,91,3.69
India,37,Engineer,None,21053.58,4,112,3.08,2.03,3.32,1.22,1.14,5.33,0.66,41.48,73.86,1.52,90.95,3.19,WiFi,Samsung,Yes,High,12.51,Yes,18,111,15.73
Russia,16,Unemployed,None,17348.96,5.42,12,3,1.24,2.07,2.31,0.77,6.67,1.39,63.19,49.78,85.15,22.81,1.05,4G,Huawei,No,Moderate,29.22,No,18,144,60.32
China,55,Student,None,30838.88,6.01,86,1.87,1.91,0.49,1.48,2.98,5.57,1.65,97.68,51.38,60.18,24.39,0.71,3G,OnePlus,Yes,Moderate,13.52,No,11,101,14.05
Japan,56,Salesperson,Master's,25647.97,5.46,63,1.55,0.85,2.27,1.84,3.3,7.61,0.49,34.39,74.08,45.37,89.51,0.27,4G,Samsung,Yes,High,30.27,No,8,85,4.28
USA,16,Student,Master's,13472.79,5.71,92,2.2,0.37,1.68,1.93,1.94,5.37,0.63,73.91,78.03,73.51,53.24,3.36,5G,OnePlus,Yes,Low,40.66,No,11,96,98.94
USA,38,Student,PhD,55632.79,3.99,126,3.13,1.03,1.8,1.64,1.79,8.75,1.31,47.08,19.3,32.76,21.41,4.11,3G,OnePlus,No,Severe,16.48,Yes,18,112,23.43
Japan,17,Engineer,PhD,14666.87,4.41,125,3.22,0.69,1.31,0.96,0.14,6.21,0.57,31.22,97.94,92.62,47.55,0.32,5G,Other,No,High,28.7,No,19,114,12.63
China,34,Unemployed,PhD,56499.79,6.7,91,1.59,0.95,2.03,1.31,3.16,5.52,0.4,25.1,5.87,13.61,41.41,2.33,4G,Apple,No,Severe,47.47,No,15,128,47.19
China,40,Teacher,PhD,27066.18,5.45,68,0.51,1.21,4.95,0.77,2.54,5.54,0.65,33.24,30.28,21.96,9.26,2.1,4G,OnePlus,No,High,31.61,Yes,15,125,29.66
USA,52,Teacher,High School,41933.48,8.74,100,3.49,0.9,1.15,1.28,2.87,6.05,1.81,70.92,18.39,24.83,61.73,-0.76,WiFi,Xiaomi,Yes,Low,34.97,Yes,8,32,44.37
UK,62,Student,Master's,56394.39,5.78,77,2.16,1.82,3.18,1.25,2.9,7.84,0.87,22.75,83.18,47.74,37.26,0.44,3G,Xiaomi,Yes,High,30.14,No,14,87,64.92
Nigeria,42,Manager,Master's,34009.95,4.91,64,3.7,0.59,1.02,1.46,3.42,6.94,0.91,35.2,42.34,19.34,50.54,1.01,3G,Apple,No,Low,33.59,Yes,10,89,61.25
Germany,22,Teacher,PhD,18528.9,5.72,79,-0.43,1.1,2.52,0.82,3.39,7.53,1.39,99.41,50.69,71.4,15.94,0.33,4G,Huawei,No,Moderate,8.46,No,9,94,25.58
Mexico,19,Engineer,Bachelor's,23108.52,6.29,46,2.43,0.19,1.56,1.83,1.89,4.28,0.68,38.65,32.21,95.24,27.58,1.86,WiFi,Xiaomi,No,Low,38.94,No,20,134,69.04
China,58,Artist,High School,23470.82,6.11,54,4.2,1.75,3.21,1.53,1.44,6.33,0.92,86.04,47.63,36.01,1.57,2.19,4G,Xiaomi,Yes,Moderate,10.62,No,12,113,23.18
China,47,Student,High School,41942.08,8.53,70,2.01,0.82,1.62,2.57,2.3,4.84,0.31,13.35,2.06,13.34,17.11,1.61,4G,Other,Yes,High,19.19,Yes,8,74,64.43
USA,34,Artist,High School,27525.33,3.87,62,3.58,2.45,2.45,1.22,2.31,6.13,1.39,58.67,37.7,59.2,68.21,0.99,WiFi,OnePlus,No,Low,11.61,No,11,95,59.48
India,57,Engineer,Bachelor's,29373.25,6.12,110,2.43,1.23,1.37,2.11,1.12,8,0.94,26.1,13.8,20.7,32.18,1.64,5G,Apple,Yes,High,32.72,Yes,19,71,61.45
China,41,Manager,Bachelor's,30761.45,5.34,56,0.68,2.07,2.26,1.4,2.52,7.01,0.49,62.72,63.91,47.74,17.37,2.08,3G,Samsung,Yes,Severe,30.9,No,12,104,92.72
Germany,14,Student,PhD,52279.75,5.24,68,0.43,2.32,0.43,1.23,2.06,6.27,1.49,46.34,72.9,36.25,57.44,1.85,3G,Apple,No,High,28.12,No,8,107,51.59
Mexico,13,Salesperson,Bachelor's,10317.84,7.66,78,3.14,1,3.44,1.36,1.94,6.5,0.67,46.33,60.41,16.14,85.34,-1.29,4G,Other,Yes,Low,33.87,Yes,20,108,14.4
